Nature_of_job,name_of_company,start_date,duration,stipened,posted_on,apply_by,brief_description,city
Pre Built Testing,Mettl,Immediately,6Months,15000/Month,24Jan'17,7Feb'17,no_value,Gurgaon
Research (Finance/Management),Administrative Staff College Of India,Immediately,3Months,20000/Month,17Jan'17,31Jan'17,Research (Finance/Management) Internship at Administrative Staff College Of India in Hyderabad,Hyderabad
Android Application & Machine Learning Based Research,IIT Bombay,Immediately,6Months,6000/Month,2Jan'17,6Feb'17,Android Application & Machine Learning Based Research Internship at IIT Bombay in Mumbai,Mumbai
Data Analytics & Big Data Research,Tech Mahindra,Immediately,2Months,8000-10000/Month,28Dec'16,31Jan'17,no_value,Hyderabad
Data Analysis,CareerIn,Immediately,2Months,1000/Month,29Jan'17,12Feb'17,Data Analysis Internship at CareerIn in ,Work From Home
Content Writing,Dimensionless Technologies,Immediately,4Months,300/Write-up,28Jan'17,11Feb'17,no_value,Work From Home
Quality Analyst,Five Splash Infotech Pvt. Ltd. ,Immediately,6Months,8000/Month,28Jan'17,11Feb'17,Quality Analyst Internship at Five Splash Infotech Pvt. Ltd.  in Udaipur,Udaipur
Capital Market Analysis,G-Square Solutions Pvt Ltd,Immediately,3Months,5000-10000/Month,27Jan'17,10Feb'17,no_value,Mumbai
Research Analyst And Development (. NET),Teknuance Info Solutions,Immediately,2Months,20000Lump-Sum,27Jan'17,10Feb'17,Research Analyst And Development (. NET) Internship at Teknuance Info Solutions in ,Work From Home
Database Building/Management,Enrich Water,Immediately,6Months,5000/Month,27Jan'17,10Feb'17,no_value,Pune
Business Development (Sales),Feeding India,25Feb-28Feb'17,6Months,no_value,26Jan'17,8Feb'17,Business Development (Sales) Internship at Feeding India in Bhubaneswar,Bhubaneswar
Data Analytics,Unisource Trading India Pvt Ltd,Immediately,2Months,5000/Month,25Jan'17,8Feb'17,no_value,Gurgaon
Business Analyst,Idealvillage,Immediately,3Months,no_value,25Jan'17,8Feb'17,Business Analyst Internship at Idealvillage in ,Work From Home
Machine Learning,Eduphilic Consultancy Pvt Ltd,Immediately,1Month,5000-6000/Month,25Jan'17,7Feb'17,Machine Learning Internship at Eduphilic Consultancy Pvt Ltd in ,Work From Home
Machine Learning,Bringle Academy,Immediately,6Months,5000-10000/Month,24Jan'17,7Feb'17,no_value,Thane
Technical Content Writing,AIMonk Labs Technology Ltd.,Immediately,2Months,2000-4000/Month,24Jan'17,7Feb'17,Technical Content Writing Internship at AIMonk Labs Technology Ltd. in ,Work From Home
Data Analytics,Shout Networking,Immediately,3Months,6000/Month,24Jan'17,7Feb'17,Data Analytics Internship at Shout Networking in Delhi,Delhi
Artificial Intelligence,Bringle Academy,Immediately,6Months,5000-10000/Month,24Jan'17,7Feb'17,no_value,Mumbai
Image Processing,Movense Entertainment,Immediately,2Months,5000/Month,24Jan'17,6Feb'17,no_value,Delhi
Data Analytics,Treebo Hotels ,Immediately,1Month,5000-6000/Month,24Jan'17,6Feb'17,Data Analytics Internship at Treebo Hotels  in Bangalore,Bangalore
Data Science,Cappius Technologies Inc,Immediately,6Months,12000/Month,23Jan'17,6Feb'17,Data Science Internship at Cappius Technologies Inc in Hyderabad,Hyderabad
Technology Analytics,SPI New Initiatives,Immediately,3Months,10000/Month,23Jan'17,6Feb'17,no_value,Chennai
Artificial Intelligence (AI),Appgram Technologies Pvt Ltd,Immediately,6Months,10000/Week,23Jan'17,6Feb'17,no_value,Bangalore
Product Data Management,Homergize,Immediately,1Month,3000-5000/Month,23Jan'17,6Feb'17,Product Data Management Internship at Homergize in Bangalore,Bangalore
Internet Marketing Research,Reappoint Internet,Immediately,3Months,5000-10000/Month,23Jan'17,6Feb'17,Internet Marketing Research Internship at Reappoint Internet in Noida,Noida
IIT JEE Questions Analysis,Fran Biz Corp,Immediately,2Months,10000/Month,23Jan'17,27Feb'17,IIT JEE Questions Analysis Internship at Fran Biz Corp in ,Work From Home
Business Analytics,Paramotor Digital Technology Private Limited,Immediately,6Months,3000/Month,23Jan'17,6Feb'17,no_value,Mumbai
Big Data,Mastiska Technology Private Limited,Immediately,6Months,10000-20000/Month,23Jan'17,5Feb'17,"Big Data Internship at Mastiska Technology Private Limited in Mohali, Chandigarh, Panchkula",Mohali
Artificial Intelligence (AI),Hacklab Innovations,Immediately,3Months,8000-11000/Month,20Jan'17,3Feb'17,no_value,Bangalore
Artificial Intelligence Intern,Worlzen,Immediately,1Month,5000/Month,20Jan'17,3Feb'17,"Artificial Intelligence Intern Internship at Worlzen in Mumbai, Navi Mumbai",Mumbai
Data Science,GyanDhan,Immediately,2Months,6000/Month,20Jan'17,3Feb'17,Data Science Internship at GyanDhan in ,Work From Home
Data Science - Analytical Product Development,Think Analytics India Pvt Ltd,Immediately,6Months,25000/Month,19Jan'17,2Feb'17,no_value,Mumbai
Marketing,Creatella,Immediately,3Months,10-200/Month,19Jan'17,2Feb'17,no_value,Work From Home
Social Media Marketing,Bait Content & Digital Solutions Pvt. Ltd.,Immediately,6Months,10000-15000/Month,19Jan'17,1Feb'17,Social Media Marketing Internship at Bait Content & Digital Solutions Pvt. Ltd. in Gurgaon,Gurgaon
Content Writing,Aptus Data Labs,Immediately,6Months,5000-10000/Month,18Jan'17,1Feb'17,no_value,Bangalore
Business Development (Sales),VARNA GRAFICS,Immediately,6Months,15000/Month,18Jan'17,1Feb'17,no_value,Mumbai
Data Analytics,Xenonstack,Immediately,6Months,15000-25000/Month,18Jan'17,22Feb'17,"Data Analytics Internship at Xenonstack in Chandigarh, Hyderabad",Chandigarh
Marketing,Edutainmentventure,Immediately,6Months,10000/Month,18Jan'17,1Feb'17,Marketing Internship at Edutainmentventure in Gurgaon,Gurgaon
Business Development (Sales),Geepay,Immediately,4Months,5000/Month,17Jan'17,31Jan'17,Business Development (Sales) Internship at Geepay in Pune,Pune
Field Research (Social Science),Life Circle Health Services,Immediately,1Month,5000/Month,17Jan'17,30Jan'17,Field Research (Social Science) Internship at Life Circle Health Services in Hyderabad,Hyderabad
